MSOA21CD_home,county_home,MSOA21CD_work,county_work,count
E02000004,GREATER_LONDON_AUTHORITY,E02000004,GREATER_LONDON_AUTHORITY,3
E02000004,GREATER_LONDON_AUTHORITY,E02000005,GREATER_LONDON_AUTHORITY,3
E02000004,GREATER_LONDON_AUTHORITY,E02000007,GREATER_LONDON_AUTHORITY,7
E02000004,GREATER_LONDON_AUTHORITY,E02000008,GREATER_LONDON_AUTHORITY,1
E02000004,GREATER_LONDON_AUTHORITY,E02000009,GREATER_LONDON_AUTHORITY,4
E02000004,GREATER_LONDON_AUTHORITY,E02000010,GREATER_LONDON_AUTHORITY,2
E02000004,GREATER_LONDON_AUTHORITY,E02000011,GREATER_LONDON_AUTHORITY,1
E02000004,GREATER_LONDON_AUTHORITY,E02000014,GREATER_LONDON_AUTHORITY,1
E02000004,GREATER_LONDON_AUTHORITY,E02000070,GREATER_LONDON_AUTHORITY,1
E02000004,GREATER_LONDON_AUTHORITY,E02000122,GREATER_LONDON_AUTHORITY,1
E02000004,GREATER_LONDON_AUTHORITY,E02000194,GREATER_LONDON_AUTHORITY,1
E02000004,GREATER_LONDON_AUTHORITY,E02000285,GREATER_LONDON_AUTHORITY,1
E02000004,GREATER_LONDON_AUTHORITY,E02000421,GREATER_LONDON_AUTHORITY,1
E02000004,GREATER_LONDON_AUTHORITY,E02000453,GREATER_LONDON_AUTHORITY,1
E02000004,GREATER_LONDON_AUTHORITY,E02000464,GREATER_LONDON_AUTHORITY,1
E02000004,GREATER_LONDON_AUTHORITY,E02000467,GREATER_LONDON_AUTHORITY,2
E02000004,GREATER_LONDON_AUTHORITY,E02000468,GREATER_LONDON_AUTHORITY,1
E02000004,GREATER_LONDON_AUTHORITY,E02000469,GREATER_LONDON_AUTHORITY,2
E02000004,GREATER_LONDON_AUTHORITY,E02000470,GREATER_LONDON_AUTHORITY,1
E02000004,GREATER_LONDON_AUTHORITY,E02000472,GREATER_LONDON_AUTHORITY,1
E02000004,GREATER_LONDON_AUTHORITY,E02000473,GREATER_LONDON_AUTHORITY,1
E02000004,GREATER_LONDON_AUTHORITY,E02000475,GREATER_LONDON_AUTHORITY,2
E02000004,GREATER_LONDON_AUTHORITY,E02000476,GREATER_LONDON_AUTHORITY,7
E02000004,GREATER_LONDON_AUTHORITY,E02000479,GREATER_LONDON_AUTHORITY,6
E02000004,GREATER_LONDON_AUTHORITY,E02000480,GREATER_LONDON_AUTHORITY,5
E02000004,GREATER_LONDON_AUTHORITY,E02000484,GREATER_LONDON_AUTHORITY,3
E02000004,GREATER_LONDON_AUTHORITY,E02000485,GREATER_LONDON_AUTHORITY,4
E02000004,GREATER_LONDON_AUTHORITY,E02000487,GREATER_LONDON_AUTHORITY,2
E02000004,GREATER_LONDON_AUTHORITY,E02000490,GREATER_LONDON_AUTHORITY,1
E02000004,GREATER_LONDON_AUTHORITY,E02000491,GREATER_LONDON_AUTHORITY,4
E02000004,GREATER_LONDON_AUTHORITY,E02000493,GREATER_LONDON_AUTHORITY,1
E02000004,GREATER_LONDON_AUTHORITY,E02000619,GREATER_LONDON_AUTHORITY,1
E02000004,GREATER_LONDON_AUTHORITY,E02000714,GREATER_LONDON_AUTHORITY,2
E02000004,GREATER_LONDON_AUTHORITY,E02000715,GREATER_LONDON_AUTHORITY,1
E02000004,GREATER_LONDON_AUTHORITY,E02000731,GREATER_LONDON_AUTHORITY,1
E02000004,GREATER_LONDON_AUTHORITY,E02000733,GREATER_LONDON_AUTHORITY,2
