MSOA21CD,prop_soc1,prop_soc2,prop_soc3,prop_soc4,prop_soc5,prop_soc6,prop_soc7,prop_soc8,prop_soc9
E02000876,0.1085052274653857,0.2935857586888952,0.18451539983046059,0.07035885843458604,0.05368748233964397,0.05453517942921729,0.08053122350946595,0.05425261373269285,0.10002825656965245
E02000877,0.10875249961544378,0.28980156898938625,0.1692047377326565,0.07368097215812952,0.05983694816182126,0.07460390709121674,0.0747577295800646,0.05429933856329795,0.09506229810798339
E02000878,0.12422239502332814,0.3402021772939347,0.19362363919129083,0.06279160186625195,0.04646189735614308,0.049961119751166405,0.06784603421461897,0.03965785381026438,0.07523328149300156
E02000879,0.09854515509195717,0.23552017567938513,0.15756244853143014,0.08180071369750205,0.07109525116662092,0.08866318967883613,0.08893768871808949,0.06286027998902004,0.11501509744715893
E02000880,0.09687184661957618,0.26337033299697277,0.16616212579885636,0.08846283215607131,0.05011772620248907,0.07870837537840565,0.08341742347796838,0.06020854355869492,0.11268079381096535
E02000881,0.11413721413721414,0.26257796257796256,0.1681912681912682,0.08336798336798337,0.062162162162162166,0.07442827442827443,0.07817047817047817,0.059251559251559255,0.09771309771309772
E02000882,0.09774594480724669,0.28439014114177374,0.16873815041078577,0.08468506425110596,0.05498209395407626,0.07457341478828734,0.08194649252159258,0.06151253423214662,0.09142616389298504
E02000883,0.0965893587994543,0.2092769440654843,0.14542974079126875,0.08376534788540245,0.07557980900409277,0.09195088676671215,0.09058663028649386,0.07421555252387449,0.13260572987721692
E02000884,0.1306285538650684,0.3775933609958506,0.18380205932073151,0.0636237897648686,0.03949592746273244,0.0437989857076994,0.0611648993391732,0.030736130321192563,0.06915629322268327
E02000885,0.07991513437057991,0.22701555869872703,0.1425035360678925,0.086987270155587,0.06577086280056577,0.09476661951909476,0.09936350777934937,0.07142857142857142,0.13224893917963224
E02000886,0.14056905973242886,0.32994158658375733,0.17410966647823628,0.07066139061616733,0.04277369511965329,0.05615225174298097,0.05652911249293386,0.03580177124552478,0.09346146598831731
E02000887,0.1089274513903408,0.2559063349362325,0.16307756638093246,0.07714823332636421,0.06773991218900272,0.07568471670499687,0.07735730712941669,0.06502195274932052,0.10913652519339327
E02000888,0.14421768707482993,0.32063492063492066,0.17732426303854876,0.07528344671201814,0.04965986394557823,0.05011337868480726,0.06848072562358276,0.04081632653061224,0.07346938775510205
E02000889,0.1626095423563778,0.37818889970788705,0.17351509250243427,0.0679649464459591,0.03602726387536514,0.04109055501460565,0.04868549172346641,0.034664070107108085,0.0572541382667965
E02000890,0.20947176684881602,0.4012490241998439,0.2019255789747593,0.053864168618266976,0.023939630497007546,0.0312256049960968,0.023158990372105125,0.017434296122820714,0.037730939370283635
E02000893,0.14578833693304535,0.2864470842332613,0.1652267818574514,0.08342332613390929,0.05534557235421166,0.06614470842332613,0.06371490280777538,0.04994600431965443,0.083963282937365
E02000894,0.16303994803507632,0.34832737901916205,0.165313413445924,0.07258850276063657,0.04839233517375771,0.0417343293277038,0.05862292952257226,0.03150373497888925,0.070477427736278
E02000895,0.1295212765957447,0.19920212765957446,0.13643617021276597,0.12101063829787234,0.10452127659574469,0.08164893617021277,0.07340425531914893,0.07313829787234043,0.08111702127659574
E02000896,0.17687513432194282,0.23769611003653557,0.1592520954223082,0.1218568665377176,0.08768536428110896,0.0627552116913819,0.04964539007092199,0.04298302170642596,0.06125080593165699
E02000897,0.13894472361809046,0.20301507537688443,0.13266331658291458,0.12311557788944724,0.10603015075376884,0.085678391959799,0.05628140703517588,0.06608040201005025,0.08819095477386935
E02000898,0.13201943844492442,0.21301295896328293,0.14146868250539957,0.12446004319654427,0.11177105831533478,0.08450323974082073,0.05966522678185745,0.05642548596112311,0.07667386609071274
E02000899,0.12948779320248924,0.17424605074198182,0.12111057922450934,0.10411680229775012,0.13188128291048348,0.07826711345141216,0.07922450933460987,0.0749162278602202,0.1067496409765438
E02000900,0.1098364657066146,0.16719550890895776,0.11862338296314376,0.10763973639248231,0.1117891139858433,0.09592384671711009,0.08274347083231633,0.08640468635587015,0.11984378813766171
E02000901,0.14213483146067415,0.26741573033707866,0.16685393258426967,0.10430711610486891,0.09213483146067415,0.06254681647940075,0.049812734082397,0.04943820224719101,0.0653558052434457
E02000902,0.11459209419680404,0.20984020185029437,0.14234650967199328,0.0973507148864592,0.09671993271656855,0.0885197645079899,0.08221194280908327,0.06959629941126998,0.09882253994953742
E02000903,0.12092333756882677,0.210292249047014,0.1433714527742482,0.07136806437950022,0.09423972892842016,0.09021601016518424,0.08343922066920796,0.06925031766200762,0.11689961880559085
E02000904,0.12959160392425279,0.24663472507415013,0.15286333561487567,0.07757243896874287,0.09696554871092859,0.07643166780743783,0.059548254620123205,0.059091946155601184,0.10130047912388775
E02000905,0.1295308187672493,0.2542778288868445,0.16448942042318307,0.07010119595216191,0.09457221711131555,0.06550137994480221,0.05887764489420423,0.05648574057037718,0.10616375344986201
E02000906,0.12673542245140818,0.2618008726695756,0.17274890916303054,0.07159857199523999,0.0872669575565252,0.06981356604522015,0.06743355811186037,0.04522015073383578,0.09738199127330424
E02000907,0.10763374920702051,0.23789384647917108,0.15034891097483613,0.07295411292027913,0.09113977585113131,0.08543032353563121,0.06787904419539015,0.06978219496722352,0.11693804186931699
E02000908,0.12404712404712405,0.27137907137907136,0.1783783783783784,0.06916146916146916,0.08648648648648649,0.0668052668052668,0.05932085932085932,0.04629244629244629,0.09812889812889813
E02000909,0.16258669930640554,0.2864137086903305,0.17972256221950225,0.06181150550795594,0.07303141574867401,0.05671154630762954,0.05059159526723786,0.04426764585883313,0.08486332109343125
E02000910,0.13478122005748963,0.25806451612903225,0.17167039284573618,0.06451612903225806,0.0969338869370808,0.05876716703928457,0.05812839348450974,0.050463110827211756,0.106675183647397
E02000911,0.1112214498510427,0.2508157185416371,0.16456234926939992,0.07306000851184564,0.08909065115619237,0.06852035749751738,0.0673854447439353,0.04951056887501773,0.12583345155341183
E02000912,0.1136744966442953,0.2269295302013423,0.1486996644295302,0.07403523489932885,0.09773489932885907,0.06816275167785235,0.07466442953020135,0.06564597315436242,0.1304530201342282
E02000913,0.12978769971547385,0.22630772597942658,0.14664040271394177,0.09017290435543883,0.10264828189975925,0.07288246881155613,0.06259575399430947,0.061282556358065225,0.1076822061720289
E02000914,0.10430622009569378,0.16842105263157894,0.12344497607655502,0.0738755980861244,0.10698564593301435,0.08746411483253588,0.09454545454545454,0.07827751196172249,0.16267942583732056
E02000915,0.14100268576544314,0.2802148612354521,0.1636078782452999,0.07520143240823635,0.07766338406445837,0.06736794986571172,0.05863921217547001,0.04767233661593554,0.08863025962399283
E02000916,0.112627365356623,0.21997816593886463,0.16175400291120814,0.07678311499272197,0.10680494905385735,0.07296215429403202,0.06186317321688501,0.06550218340611354,0.12172489082969433
E02000917,0.13594994311717862,0.23568448995070154,0.15111869548729617,0.07224118316268487,0.10106181266590823,0.06882821387940842,0.05422828972317027,0.05422828972317027,0.12665908229048162
E02000918,0.12204485754697919,0.23701757930895131,0.14629218023843202,0.07900585976965044,0.10062638916952919,0.06849868660335422,0.06203273388563346,0.061628611840775914,0.12285310163669429
E02000919,0.11799410029498525,0.22497541789577188,0.14749262536873156,0.07295968534906588,0.11288102261553588,0.06489675516224189,0.06135693215339233,0.052900688298918384,0.14454277286135694
E02000920,0.10176049526020507,0.20139291932675565,0.13851808860514606,0.08067324434126523,0.1077577868059586,0.08550976978138905,0.07409556974269685,0.06306829173921455,0.14722383439736894
E02000921,0.09206625980819529,0.17959895379250218,0.13042720139494332,0.07183958151700087,0.12955536181342633,0.0979947689625109,0.07428073234524847,0.06817785527462947,0.15605928509154315
E02000922,0.11258522203795836,0.21300902892942694,0.1334070388796757,0.06928321356182053,0.11645476322093237,0.07499539340335361,0.07407407407407407,0.05749032614704257,0.14870093974571585
E02000923,0.22153351698806245,0.31910009182736454,0.1919191919191919,0.05693296602387511,0.03741965105601469,0.07047750229568411,0.03764921946740129,0.023186409550045913,0.04178145087235996
E02000925,0.1354916067146283,0.25203836930455636,0.17601918465227817,0.07961630695443644,0.054196642685851316,0.09784172661870504,0.06762589928057554,0.044124700239808155,0.09304556354916067
E02000926,0.2033422459893048,0.3247326203208556,0.21109625668449197,0.06858288770053476,0.03890374331550802,0.04959893048128342,0.040106951871657755,0.02232620320855615,0.04131016042780749
