MSOA11CD,active_commuters,prop_car,prop_pt,prop_active
E02000424,3822,0.19387755102040816,0.6376242804814234,0.16169544740973313
E02000425,2591,0.2747973755306831,0.5360864531069085,0.18062524121960633
E02000426,3219,0.27958993476234856,0.5952159055607331,0.11618515066790928
E02000427,3803,0.14725216933999474,0.7175913752300815,0.12674204575335263
E02000428,2978,0.2038280725319006,0.6608462055070518,0.1292813969106783
E02000429,3707,0.23684920420825464,0.6147828432694902,0.14189371459401132
E02000430,4426,0.18933574333483957,0.6538635336647085,0.15205603253502034
E02000431,3950,0.1681012658227848,0.6863291139240506,0.13924050632911392
E02000432,3648,0.13541666666666666,0.7069627192982456,0.15268640350877194
E02006794,2485,0.2442655935613682,0.6394366197183099,0.10784708249496981
E02000554,4031,0.16794839990076904,0.6254031257752419,0.19771768791863062
E02000555,4425,0.16677966101694916,0.6470056497175142,0.17966101694915254
E02000556,5203,0.12800307514895254,0.6678839131270421,0.19738612339035172
E02000557,3980,0.1457286432160804,0.6522613065326633,0.1957286432160804
E02000558,3366,0.13874034462269758,0.6571598336304219,0.19607843137254902
E02000559,5020,0.10617529880478088,0.6972111553784861,0.18944223107569721
E02000560,3891,0.11616551015163197,0.6892829606784888,0.1883834489848368
E02000561,3950,0.1549367088607595,0.590126582278481,0.2470886075949367
E02000562,3800,0.1386842105263158,0.6078947368421053,0.24526315789473685
E02000563,3822,0.1357927786499215,0.6258503401360545,0.23207744636316066
E02000564,6002,0.10396534488503832,0.6851049650116627,0.2060979673442186
E02000565,3693,0.12293528296777688,0.6306525859734633,0.23828865421066883
E02000566,4535,0.11488423373759647,0.6359426681367144,0.24388092613009923
E02000567,5517,0.12144281312307413,0.618089541417437,0.25249229653797356
E02000568,3795,0.13649538866930172,0.6005270092226614,0.25638998682476943
E02000569,4895,0.12563840653728295,0.6241062308478039,0.2439223697650664
E02000570,4912,0.12927524429967427,0.5401058631921825,0.32166123778501626
E02000571,3832,0.12108559498956159,0.5487995824634656,0.32411273486430064
